awardYear,category,adjustedPrizePerLaureate
1992,Physics,9184250
1992,Physiology or Medicine,4592125
1992,Physiology or Medicine,4592125
1993,Chemistry,4522138
1993,Chemistry,4522138
1993,Economic Sciences,4522138
1993,Economic Sciences,4522138
1993,Literature,9044276
1993,Peace,4522138
1993,Peace,4522138
1993,Physics,4522138
1993,Physics,4522138
1993,Physiology or Medicine,4522138
1993,Physiology or Medicine,4522138
1994,Chemistry,9249471
1994,Economic Sciences,3083157
1994,Economic Sciences,3083157
1994,Economic Sciences,3083157
1994,Literature,9249471
1994,Peace,3083157
1994,Peace,3083157
1994,Peace,3083157
1994,Physics,4624735.5
1994,Physics,4624735.5
1994,Physiology or Medicine,4624735.5
1994,Physiology or Medicine,4624735.5
1995,Chemistry,3092783.667
1995,Chemistry,3092783.667
1995,Chemistry,3092783.667
1995,Economic Sciences,9278351
1995,Literature,9278351
1995,Peace,4639175.5
1995,Peace,4639175.5
1995,Physics,4639175.5
1995,Physics,4639175.5
1995,Physiology or Medicine,3092783.667
1995,Physiology or Medicine,3092783.667
1995,Physiology or Medicine,3092783.667
1996,Chemistry,3163474.667
1996,Chemistry,3163474.667
1996,Chemistry,3163474.667
1996,Economic Sciences,4745212
1996,Economic Sciences,4745212
1996,Literature,9490424
1996,Peace,4745212
1996,Peace,4745212
1996,Physics,3163474.667
1996,Physics,3163474.667
1996,Physics,3163474.667
1996,Physiology or Medicine,4745212
1996,Physiology or Medicine,4745212
1997,Chemistry,3190946.333
1997,Chemistry,3190946.333
1997,Chemistry,3190946.333
1997,Economic Sciences,4786419.5
1997,Economic Sciences,4786419.5
1997,Literature,9572839
1997,Peace,4786419.5
1997,Peace,4786419.5
1997,Physics,3190946.333
1997,Physics,3190946.333
1997,Physics,3190946.333
1997,Physiology or Medicine,9572839
1998,Chemistry,4856850.5
1998,Chemistry,4856850.5
1998,Economic Sciences,9713701
1998,Literature,9713701
1998,Peace,4856850.5
1998,Peace,4856850.5
1998,Physics,3237900.333
1998,Physics,3237900.333
1998,Physics,3237900.333
1998,Physiology or Medicine,3237900.333
1998,Physiology or Medicine,3237900.333
1998,Physiology or Medicine,3237900.333
1999,Chemistry,10049186
1999,Economic Sciences,10049186
1999,Literature,10049186
1999,Peace,10049186
1999,Physics,5024593
1999,Physics,5024593
1999,Physiology or Medicine,10049186
2000,Chemistry,3777703
2000,Chemistry,3777703
2000,Chemistry,3777703
2000,Economic Sciences,5666554.5
2000,Economic Sciences,5666554.5
2000,Literature,11333109
2000,Peace,11333109
2000,Physics,3777703
2000,Physics,3777703
2000,Physics,3777703
2000,Physiology or Medicine,3777703
2000,Physiology or Medicine,3777703
2000,Physiology or Medicine,3777703
2001,Chemistry,4098360.667
2001,Chemistry,4098360.667
2001,Chemistry,4098360.667
2001,Economic Sciences,4098360.667
2001,Economic Sciences,4098360.667
2001,Economic Sciences,4098360.667
2001,Literature,12295082
2001,Peace,6147541
2001,Peace,6147541
2001,Physics,4098360.667
2001,Physics,4098360.667
2001,Physics,4098360.667
2001,Physiology or Medicine,4098360.667
2001,Physiology or Medicine,4098360.667
2001,Physiology or Medicine,4098360.667
2002,Chemistry,4011553.333
2002,Chemistry,4011553.333
2002,Chemistry,4011553.333
2002,Economic Sciences,6017330
2002,Economic Sciences,6017330
2002,Literature,12034660
2002,Peace,12034660
2002,Physics,4011553.333
2002,Physics,4011553.333
2002,Physics,4011553.333
2002,Physiology or Medicine,4011553.333
2002,Physiology or Medicine,4011553.333
2002,Physiology or Medicine,4011553.333
2003,Chemistry,5903652.5
2003,Chemistry,5903652.5
2003,Economic Sciences,5903652.5
2003,Economic Sciences,5903652.5
2003,Literature,11807305
2003,Peace,11807305
2003,Physics,3935768.333
2003,Physics,3935768.333
2003,Physics,3935768.333
2003,Physiology or Medicine,5903652.5
2003,Physiology or Medicine,5903652.5
2004,Chemistry,3920953.667
2004,Chemistry,3920953.667
2004,Chemistry,3920953.667
2004,Economic Sciences,5881430.5
2004,Economic Sciences,5881430.5
2004,Literature,11762861
2004,Peace,11762861
2004,Physics,3920953.667
2004,Physics,3920953.667
2004,Physics,3920953.667
2004,Physiology or Medicine,5881430.5
2004,Physiology or Medicine,5881430.5
2005,Chemistry,3903810
2005,Chemistry,3903810
2005,Chemistry,3903810
2005,Economic Sciences,5855715
2005,Economic Sciences,5855715
2005,Literature,11711430
2005,Peace,5855715
2005,Peace,5855715
2005,Physics,3903810
2005,Physics,3903810
2005,Physics,3903810
2005,Physiology or Medicine,5855715
2005,Physiology or Medicine,5855715
2006,Chemistry,11552680
2006,Economic Sciences,11552680
2006,Literature,11552680
2006,Peace,5776340
2006,Peace,5776340
2006,Physics,5776340
2006,Physics,5776340
2006,Physiology or Medicine,5776340
2006,Physiology or Medicine,5776340
2007,Chemistry,11301989
2007,Economic Sciences,3767329.667
2007,Economic Sciences,3767329.667
2007,Economic Sciences,3767329.667
2007,Literature,11301989
2007,Peace,5650994.5
2007,Peace,5650994.5
2007,Physics,5650994.5
2007,Physics,5650994.5
2007,Physiology or Medicine,3767329.667
2007,Physiology or Medicine,3767329.667
2007,Physiology or Medicine,3767329.667
2008,Chemistry,3642191
2008,Chemistry,3642191
2008,Chemistry,3642191
2008,Economic Sciences,10926573
2008,Literature,10926573
2008,Peace,10926573
2008,Physics,3642191
2008,Physics,3642191
2008,Physics,3642191
2008,Physiology or Medicine,3642191
2008,Physiology or Medicine,3642191
2008,Physiology or Medicine,3642191
2009,Chemistry,3652834.667
2009,Chemistry,3652834.667
2009,Chemistry,3652834.667
2009,Economic Sciences,5479252
2009,Economic Sciences,5479252
2009,Literature,10958504
2009,Peace,10958504
2009,Physics,3652834.667
2009,Physics,3652834.667
2009,Physics,3652834.667
2009,Physiology or Medicine,3652834.667
2009,Physiology or Medicine,3652834.667
2009,Physiology or Medicine,3652834.667
2010,Chemistry,3606462.667
2010,Chemistry,3606462.667
2010,Chemistry,3606462.667
2010,Economic Sciences,3606462.667
2010,Economic Sciences,3606462.667
2010,Economic Sciences,3606462.667
2010,Literature,10819388
2010,Peace,10819388
2010,Physics,5409694
2010,Physics,5409694
2010,Physiology or Medicine,10819388
2011,Chemistry,10545557
2011,Economic Sciences,5272778.5
2011,Economic Sciences,5272778.5
2011,Literature,10545557
2011,Peace,3515185.667
2011,Peace,3515185.667
2011,Peace,3515185.667
2011,Physics,3515185.667
2011,Physics,3515185.667
2011,Physics,3515185.667
2011,Physiology or Medicine,3515185.667
2011,Physiology or Medicine,3515185.667
2011,Physiology or Medicine,3515185.667
2012,Chemistry,4180602
2012,Chemistry,4180602
2012,Economic Sciences,4180602
2012,Economic Sciences,4180602
2012,Literature,8361204
2012,Peace,8361204
2012,Physics,4180602
2012,Physics,4180602
2012,Physiology or Medicine,4180602
2012,Physiology or Medicine,4180602
2013,Chemistry,2788622.333
2013,Chemistry,2788622.333
2013,Chemistry,2788622.333
2013,Economic Sciences,2788622.333
2013,Economic Sciences,2788622.333
2013,Economic Sciences,2788622.333
2013,Literature,8365867
2013,Peace,8365867
2013,Physics,4182933.5
2013,Physics,4182933.5
2013,Physiology or Medicine,2788622.333
2013,Physiology or Medicine,2788622.333
2013,Physiology or Medicine,2788622.333
2014,Chemistry,2793296
2014,Chemistry,2793296
2014,Chemistry,2793296
2014,Economic Sciences,8379888
2014,Literature,8379888
2014,Peace,4189944
2014,Peace,4189944
2014,Physics,2793296
2014,Physics,2793296
2014,Physics,2793296
2014,Physiology or Medicine,2793296
2014,Physiology or Medicine,2793296
2014,Physiology or Medicine,2793296
2015,Chemistry,2794857.333
2015,Chemistry,2794857.333
2015,Chemistry,2794857.333
2015,Economic Sciences,8384572
2015,Literature,8384572
2015,Peace,8384572
2015,Physics,4192286
2015,Physics,4192286
2015,Physiology or Medicine,2794857.333
2015,Physiology or Medicine,2794857.333
2015,Physiology or Medicine,2794857.333
2016,Chemistry,2767017
2016,Chemistry,2767017
2016,Chemistry,2767017
2016,Economic Sciences,4150525.5
2016,Economic Sciences,4150525.5
2016,Literature,8301051
2016,Peace,8301051
2016,Physics,2767017
2016,Physics,2767017
2016,Physics,2767017
2016,Physiology or Medicine,8301051
2017,Chemistry,3058727.667
2017,Chemistry,3058727.667
2017,Chemistry,3058727.667
2017,Economic Sciences,9176183
2017,Literature,9176183
2017,Peace,9176183
2017,Physics,3058727.667
2017,Physics,3058727.667
2017,Physics,3058727.667
2017,Physiology or Medicine,3058727.667
2017,Physiology or Medicine,3058727.667
2017,Physiology or Medicine,3058727.667
2018,Chemistry,3000000
2018,Chemistry,3000000
2018,Chemistry,3000000
2018,Economic Sciences,4500000
2018,Economic Sciences,4500000
2018,Literature,9000000
