firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize,full name
Harry M.,Markowitz,US,,male,1990,economics,3,City University of New York,New York NY,USA,Aug,93,63,Harry M. Markowitz
Merton H.,Miller,US,US,male,1990,economics,3,University of Chicago,Chicago IL,USA,May,77,67,Merton H. Miller
William F.,Sharpe,US,,male,1990,economics,3,Stanford University,Stanford CA,USA,Jun,86,56,William F. Sharpe
Ronald H.,Coase,GB,US,male,1991,economics,1,University of Chicago,Chicago IL,USA,Dec,103,81,Ronald H. Coase
Gary,Becker,US,US,male,1992,economics,1,University of Chicago,Chicago IL,USA,Dec,84,62,Gary Becker
Robert W.,Fogel,US,US,male,1993,economics,2,University of Chicago,Chicago IL,USA,Jul,86,66,Robert W. Fogel
Douglass C.,North,US,US,male,1993,economics,2,Washington University,St. Louis MO,USA,Nov,95,73,Douglass C. North
John C.,Harsanyi,HU,US,male,1994,economics,3,University of California,Berkeley CA,USA,May,80,74,John C. Harsanyi
John F.,Nash Jr.,US,US,male,1994,economics,3,Princeton University,Princeton NJ,USA,Jun,87,66,John F. Nash Jr.
Reinhard,Selten,PL,PL,male,1994,economics,3,Rheinische Friedrich-Wilhelms-Universität,Bonn,Germany,Oct,86,64,Reinhard Selten
Robert E.,Lucas Jr.,US,,male,1995,economics,1,University of Chicago,Chicago IL,USA,Sep,83,58,Robert E. Lucas Jr.
James A.,Mirrlees,GB,GB,male,1996,economics,2,University of Cambridge,Cambridge,United Kingdom,Jul,82,60,James A. Mirrlees
William,Vickrey,CA,US,male,1996,economics,2,Columbia University,New York NY,USA,Jun,82,82,William Vickrey
Robert C.,Merton,US,,male,1997,economics,2,Harvard University,Cambridge MA,USA,Jul,76,53,Robert C. Merton
Myron,Scholes,CA,,male,1997,economics,2,Long Term Capital Management,Greenwich CT,USA,Jul,79,56,Myron Scholes
Amartya,Sen,IN,,male,1998,economics,1,Trinity College,Cambridge,United Kingdom,Nov,87,65,Amartya Sen
Robert,Mundell,CA,,male,1999,economics,1,Columbia University,New York NY,USA,Oct,88,67,Robert Mundell
